join_index,sampling_index,origin,destination,area,journeyClass,ttpTravelTime,metadata
44,44,"49.229669300000005 , -123.02505020000001","49.1396328 , -123.1155449",urban-urban,urban,1221,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""1e9917ae527545d8a96a3d21206fe880""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""066e6ae7a97d4ff7a8fb08eee71ee69d""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""ca7d92fc045f47a4aab2d27e5ce72c53""}}"
46,46,"56.4318821 , -120.6893917","56.35320900000001 , -120.76837730000001",urban-urban,urban,1222,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""1e9917ae527545d8a96a3d21206fe880""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""066e6ae7a97d4ff7a8fb08eee71ee69d""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""ca7d92fc045f47a4aab2d27e5ce72c53""}}"
47,47,"49.331068 , -123.10747730000001","49.3312323 , -122.94736420000001",urban-urban,urban,1222,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""1e9917ae527545d8a96a3d21206fe880""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""066e6ae7a97d4ff7a8fb08eee71ee69d""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""ca7d92fc045f47a4aab2d27e5ce72c53""}}"
48,48,"48.4809807 , -123.3199117","48.4108091 , -123.319546",urban-urban,urban,1178,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""1e9917ae527545d8a96a3d21206fe880""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""066e6ae7a97d4ff7a8fb08eee71ee69d""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""ca7d92fc045f47a4aab2d27e5ce72c53""}}"
49,49,"49.8867077 , -119.4669693","49.9618551 , -119.39161820000001",urban-urban,urban,1177,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""1e9917ae527545d8a96a3d21206fe880""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""066e6ae7a97d4ff7a8fb08eee71ee69d""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""ca7d92fc045f47a4aab2d27e5ce72c53""}}"
50,50,"53.859861 , -122.79431260000001","53.931429900000005 , -122.86549930000001",urban-urban,urban,1224,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""1e9917ae527545d8a96a3d21206fe880""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""066e6ae7a97d4ff7a8fb08eee71ee69d""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""ca7d92fc045f47a4aab2d27e5ce72c53""}}"
52,52,"49.2738899 , -123.12534600000001","49.352193400000004 , -123.2037617",urban-urban,urban,1225,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""1e9917ae527545d8a96a3d21206fe880""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""066e6ae7a97d4ff7a8fb08eee71ee69d""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""ca7d92fc045f47a4aab2d27e5ce72c53""}}"
53,53,"49.2327914 , -123.048889","49.136073100000004 , -123.14553190000001",urban-urban,urban,1225,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""1e9917ae527545d8a96a3d21206fe880""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""066e6ae7a97d4ff7a8fb08eee71ee69d""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""ca7d92fc045f47a4aab2d27e5ce72c53""}}"
55,55,"50.66430080000001 , -120.45710240000001","50.6643728 , -120.1569546",urban-urban,urban,1226,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""1e9917ae527545d8a96a3d21206fe880""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""066e6ae7a97d4ff7a8fb08eee71ee69d""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""ca7d92fc045f47a4aab2d27e5ce72c53""}}"
57,57,"49.10842 , -122.8455469","49.2133022 , -122.84538330000001",urban-urban,urban,1227,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""1e9917ae527545d8a96a3d21206fe880""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""066e6ae7a97d4ff7a8fb08eee71ee69d""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""ca7d92fc045f47a4aab2d27e5ce72c53""}}"
59,59,"52.1738763 , -122.18990020000001","52.100145100000006 , -122.18954120000001",urban-urban,urban,1228,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""1e9917ae527545d8a96a3d21206fe880""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""066e6ae7a97d4ff7a8fb08eee71ee69d""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""ca7d92fc045f47a4aab2d27e5ce72c53""}}"
61,61,"49.235136700000005 , -124.80472780000001","49.3516393 , -124.92101400000001",urban-urban,urban,1171,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""1e9917ae527545d8a96a3d21206fe880""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""066e6ae7a97d4ff7a8fb08eee71ee69d""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""ca7d92fc045f47a4aab2d27e5ce72c53""}}"
63,63,"49.1900125 , -122.98873250000001","49.249817400000005 , -122.92894720000001",urban-urban,urban,1229,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""1e9917ae527545d8a96a3d21206fe880""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""066e6ae7a97d4ff7a8fb08eee71ee69d""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""ca7d92fc045f47a4aab2d27e5ce72c53""}}"
64,64,"50.773353900000004 , -121.9730799","50.669126000000006 , -121.973453",urban-rural,urban,1171,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""1e9917ae527545d8a96a3d21206fe880""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""066e6ae7a97d4ff7a8fb08eee71ee69d""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""ca7d92fc045f47a4aab2d27e5ce72c53""}}"
67,67,"49.189598800000006 , -122.8308844","49.2654207 , -122.90655290000001",urban-urban,urban,1170,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""1e9917ae527545d8a96a3d21206fe880""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""066e6ae7a97d4ff7a8fb08eee71ee69d""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""ca7d92fc045f47a4aab2d27e5ce72c53""}}"
68,68,"49.325395900000004 , -123.0546254","49.2059379 , -123.0543722",urban-urban,urban,1170,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""1e9917ae527545d8a96a3d21206fe880""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""066e6ae7a97d4ff7a8fb08eee71ee69d""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""ca7d92fc045f47a4aab2d27e5ce72c53""}}"
69,69,"49.025348400000006 , -122.8217671","49.0249474 , -122.6471453",urban-urban,urban,1170,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""1e9917ae527545d8a96a3d21206fe880""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""066e6ae7a97d4ff7a8fb08eee71ee69d""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""ca7d92fc045f47a4aab2d27e5ce72c53""}}"
70,70,"49.5223833 , -123.7712321","49.436769000000005 , -123.6854579",urban-urban,urban,1170,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""1e9917ae527545d8a96a3d21206fe880""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""066e6ae7a97d4ff7a8fb08eee71ee69d""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""ca7d92fc045f47a4aab2d27e5ce72c53""}}"
78,78,"48.925423900000006 , -123.71970100000001","49.0459113 , -123.8400924",urban-rural,urban,1235,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""1e9917ae527545d8a96a3d21206fe880""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""066e6ae7a97d4ff7a8fb08eee71ee69d""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""ca7d92fc045f47a4aab2d27e5ce72c53""}}"
79,79,"49.217392000000004 , -123.09031180000001","49.085501400000005 , -123.0898959",urban-urban,urban,1165,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""1e9917ae527545d8a96a3d21206fe880""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""066e6ae7a97d4ff7a8fb08eee71ee69d""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""ca7d92fc045f47a4aab2d27e5ce72c53""}}"
80,80,"49.1649103 , -122.7985723","49.093612400000005 , -122.8695727",urban-urban,urban,1236,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""1e9917ae527545d8a96a3d21206fe880""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""066e6ae7a97d4ff7a8fb08eee71ee69d""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""ca7d92fc045f47a4aab2d27e5ce72c53""}}"
82,82,"55.64307530000001 , -120.14677750000001","55.578009400000006 , -120.21183490000001",urban-urban,urban,1236,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""1e9917ae527545d8a96a3d21206fe880""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""066e6ae7a97d4ff7a8fb08eee71ee69d""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""ca7d92fc045f47a4aab2d27e5ce72c53""}}"
87,87,"48.4322614 , -123.49955990000001","48.5148172 , -123.49918650000001",urban-urban,urban,1239,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""1e9917ae527545d8a96a3d21206fe880""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""066e6ae7a97d4ff7a8fb08eee71ee69d""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""ca7d92fc045f47a4aab2d27e5ce72c53""}}"
89,89,"49.149261200000005 , -123.15767260000001","49.272178700000005 , -123.15736840000001",urban-urban,urban,1240,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""1e9917ae527545d8a96a3d21206fe880""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""066e6ae7a97d4ff7a8fb08eee71ee69d""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""ca7d92fc045f47a4aab2d27e5ce72c53""}}"
94,94,"49.671301 , -124.920355","49.6716197 , -125.0267146",urban-urban,urban,1159,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""1e9917ae527545d8a96a3d21206fe880""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""066e6ae7a97d4ff7a8fb08eee71ee69d""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""ca7d92fc045f47a4aab2d27e5ce72c53""}}"
95,95,"55.999773100000006 , -120.11475030000001","56.0000037 , -120.270988",urban-urban,urban,1159,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""1e9917ae527545d8a96a3d21206fe880""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""066e6ae7a97d4ff7a8fb08eee71ee69d""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""ca7d92fc045f47a4aab2d27e5ce72c53""}}"
97,97,"49.203105 , -122.86059100000001","49.2809888 , -122.9381654",urban-urban,urban,1241,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""1e9917ae527545d8a96a3d21206fe880""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""066e6ae7a97d4ff7a8fb08eee71ee69d""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""ca7d92fc045f47a4aab2d27e5ce72c53""}}"
98,98,"49.2194099 , -115.38422130000001","49.125893600000005 , -115.4772683",urban-urban,urban,1241,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""1e9917ae527545d8a96a3d21206fe880""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""066e6ae7a97d4ff7a8fb08eee71ee69d""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""ca7d92fc045f47a4aab2d27e5ce72c53""}}"
99,99,"52.146195000000006 , -121.9942304","52.1994802 , -122.047764",urban-urban,urban,1241,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""1e9917ae527545d8a96a3d21206fe880""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""066e6ae7a97d4ff7a8fb08eee71ee69d""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""ca7d92fc045f47a4aab2d27e5ce72c53""}}"
100,100,"52.217588000000006 , -124.0481472","52.116511100000004 , -124.0481864",urban-urban,urban,1242,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""1e9917ae527545d8a96a3d21206fe880""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""066e6ae7a97d4ff7a8fb08eee71ee69d""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""ca7d92fc045f47a4aab2d27e5ce72c53""}}"
106,106,"49.260773900000004 , -123.14351110000001","49.34544 , -123.05847150000001",urban-urban,urban,1244,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""1e9917ae527545d8a96a3d21206fe880""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""066e6ae7a97d4ff7a8fb08eee71ee69d""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""ca7d92fc045f47a4aab2d27e5ce72c53""}}"
107,107,"49.339162 , -123.38152170000001","49.4102168 , -123.31006180000001",urban-urban,urban,1156,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""1e9917ae527545d8a96a3d21206fe880""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""066e6ae7a97d4ff7a8fb08eee71ee69d""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""ca7d92fc045f47a4aab2d27e5ce72c53""}}"
111,111,"51.2787128 , -121.0111744","51.3770928 , -121.01090540000001",urban-urban,urban,1152,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""1e9917ae527545d8a96a3d21206fe880""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""066e6ae7a97d4ff7a8fb08eee71ee69d""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""ca7d92fc045f47a4aab2d27e5ce72c53""}}"
