join_index,sampling_index,origin,destination,area,journeyClass,ttpTravelTime,metadata
47,47,"49.4636988 , -91.0286348","49.358693200000005 , -91.028237",urban-urban,urban,1178,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""e8d1f5b91b6f405ba6c0267da8ed117d""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""a045e95393294f6cad1ab8807c001ca6""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""c16ad7f93e1d46c2ae1ca883b048c216""}}"
48,48,"47.7713958 , -83.1376003","47.871343800000005 , -83.23733130000001",urban-rural,urban,1223,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""e8d1f5b91b6f405ba6c0267da8ed117d""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""a045e95393294f6cad1ab8807c001ca6""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""c16ad7f93e1d46c2ae1ca883b048c216""}}"
49,49,"43.773407000000006 , -79.53163860000001","43.5887199 , -79.53124050000001",urban-urban,urban,1177,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""e8d1f5b91b6f405ba6c0267da8ed117d""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""a045e95393294f6cad1ab8807c001ca6""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""c16ad7f93e1d46c2ae1ca883b048c216""}}"
50,50,"45.4936814 , -75.4847029","45.3776391 , -75.60034",urban-urban,urban,1224,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""e8d1f5b91b6f405ba6c0267da8ed117d""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""a045e95393294f6cad1ab8807c001ca6""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""c16ad7f93e1d46c2ae1ca883b048c216""}}"
52,52,"43.372789700000006 , -80.4378875","43.3726348 , -80.2851681",urban-urban,urban,1225,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""e8d1f5b91b6f405ba6c0267da8ed117d""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""a045e95393294f6cad1ab8807c001ca6""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""c16ad7f93e1d46c2ae1ca883b048c216""}}"
53,53,"43.809542400000005 , -79.54563440000001","43.592606100000005 , -79.5460374",urban-urban,urban,1174,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""e8d1f5b91b6f405ba6c0267da8ed117d""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""a045e95393294f6cad1ab8807c001ca6""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""c16ad7f93e1d46c2ae1ca883b048c216""}}"
55,55,"43.765320100000004 , -79.5043619","43.851858500000006 , -79.5904739",urban-urban,urban,1174,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""e8d1f5b91b6f405ba6c0267da8ed117d""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""a045e95393294f6cad1ab8807c001ca6""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""c16ad7f93e1d46c2ae1ca883b048c216""}}"
57,57,"42.3192086 , -82.9805663","42.3192862 , -82.841949",urban-urban,urban,1171,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""e8d1f5b91b6f405ba6c0267da8ed117d""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""a045e95393294f6cad1ab8807c001ca6""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""c16ad7f93e1d46c2ae1ca883b048c216""}}"
59,59,"45.345427900000004 , -75.90284910000001","45.3457992 , -75.7329279",urban-urban,urban,1230,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""e8d1f5b91b6f405ba6c0267da8ed117d""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""a045e95393294f6cad1ab8807c001ca6""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""c16ad7f93e1d46c2ae1ca883b048c216""}}"
61,61,"49.5117199 , -91.2862496","49.4023076 , -91.2862709",urban-urban,urban,1170,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""e8d1f5b91b6f405ba6c0267da8ed117d""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""a045e95393294f6cad1ab8807c001ca6""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""c16ad7f93e1d46c2ae1ca883b048c216""}}"
