join_index,sampling_index,origin,destination,area,journeyClass,ttpTravelTime,metadata
46,46,"53.648205600000004 , -113.64324620000001","53.606692300000006 , -113.643337",urban-urban,urban,1174,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""62ce72d45380414aabe46304bed788b2""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""050b6083fcee4d8c90b1e2d8f9263c71""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""fefd5c91ffd9482a8fb31ad02298b97b""}}"
47,47,"51.1799806 , -114.30646370000001","51.179859400000005 , -114.09436450000001",urban-urban,urban,1174,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""62ce72d45380414aabe46304bed788b2""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""050b6083fcee4d8c90b1e2d8f9263c71""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""fefd5c91ffd9482a8fb31ad02298b97b""}}"
48,48,"51.1349207 , -113.95896200000001","51.0684813 , -113.9593119",urban-urban,urban,1226,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""62ce72d45380414aabe46304bed788b2""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""050b6083fcee4d8c90b1e2d8f9263c71""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""fefd5c91ffd9482a8fb31ad02298b97b""}}"
49,49,"51.1039198 , -114.1414185","51.1761659 , -114.0692997",urban-rural,urban,1227,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""62ce72d45380414aabe46304bed788b2""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""050b6083fcee4d8c90b1e2d8f9263c71""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""fefd5c91ffd9482a8fb31ad02298b97b""}}"
50,50,"51.1866214 , -114.50900770000001","51.1871044 , -114.36632900000001",urban-urban,urban,1172,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""62ce72d45380414aabe46304bed788b2""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""050b6083fcee4d8c90b1e2d8f9263c71""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""fefd5c91ffd9482a8fb31ad02298b97b""}}"
52,52,"50.8358209 , -113.9751956","51.0192683 , -113.97547610000001",urban-urban,urban,1231,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""62ce72d45380414aabe46304bed788b2""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""050b6083fcee4d8c90b1e2d8f9263c71""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""fefd5c91ffd9482a8fb31ad02298b97b""}}"
53,53,"51.0635549 , -113.9717758","50.989529600000004 , -113.97138090000001",urban-urban,urban,1231,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""62ce72d45380414aabe46304bed788b2""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""050b6083fcee4d8c90b1e2d8f9263c71""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""fefd5c91ffd9482a8fb31ad02298b97b""}}"
55,55,"51.3046784 , -114.03869700000001","51.2500184 , -113.9838701",urban-urban,urban,1234,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""62ce72d45380414aabe46304bed788b2""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""050b6083fcee4d8c90b1e2d8f9263c71""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""fefd5c91ffd9482a8fb31ad02298b97b""}}"
57,57,"53.602791 , -113.38876440000001","53.5578845 , -113.3883469",urban-urban,urban,1164,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""62ce72d45380414aabe46304bed788b2""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""050b6083fcee4d8c90b1e2d8f9263c71""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""fefd5c91ffd9482a8fb31ad02298b97b""}}"
59,59,"53.615297500000004 , -113.43710990000001","53.615658200000006 , -113.54744550000001",urban-urban,urban,1239,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""62ce72d45380414aabe46304bed788b2""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""050b6083fcee4d8c90b1e2d8f9263c71""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""fefd5c91ffd9482a8fb31ad02298b97b""}}"
