join_index,sampling_index,origin,destination,area,ttpTravelTime
101,101,"47.591820000000006 , 12.693256000000002","47.4065341 , 12.877994900000001",rural-rural,1860
102,102,"48.2840683 , 16.314605800000002","48.204677800000006 , 16.2350558",urban-urban,1739
103,103,"47.3438183 , 13.2002789","47.343854900000004 , 13.367329100000001",urban-rural,1862
104,104,"48.214729000000005 , 16.3537795","48.343476200000005 , 16.224664",urban-urban,1738
105,105,"48.2982766 , 16.487305600000003","48.2984353 , 16.2820609",urban-rural,1863
106,106,"47.4252492 , 9.6647917","47.345091100000005 , 9.7455485",urban-urban,1737
107,107,"47.1075097 , 15.528808100000001","46.9706004 , 15.5292901",urban-rural,1863
108,108,"47.3660167 , 13.194468200000001","47.3666217 , 13.3685331",rural-urban,1737
109,109,"47.4667558 , 9.6223588","47.3709749 , 9.718009400000001",urban-urban,1864
110,110,"48.2359827 , 16.367269","48.1437588 , 16.274645200000002",urban-urban,1736
111,111,"47.075816100000004 , 15.517466800000001","47.1960582 , 15.3968261",urban-rural,1864
112,112,"47.0374014 , 15.354624900000001","46.891841 , 15.3543617",urban-rural,1734
113,113,"47.1151828 , 15.531422000000001","46.9862185 , 15.531868300000001",rural-rural,1734
114,114,"48.2382724 , 16.3708235","48.2389017 , 16.18822",urban-urban,1866
115,115,"48.315100400000006 , 14.256418600000002","48.2042858 , 14.367887300000001",urban-urban,1867
116,116,"48.2044219 , 16.1707581","48.204558600000006 , 15.873524000000002",urban-rural,1868
117,117,"48.3101762 , 16.256875400000002","48.191875700000004 , 16.374683700000002",urban-urban,1868
118,118,"47.9715969 , 16.00956","47.972033 , 16.272533600000003",rural-rural,1869
119,119,"47.070637500000004 , 15.5350715","46.9316024 , 15.5351888",urban-urban,1870
120,120,"47.032258500000005 , 15.4340737","47.1573123 , 15.434430700000002",urban-rural,1730
121,121,"47.0112479 , 15.411585100000002","47.1757512 , 15.411126800000002",urban-rural,1870
122,122,"48.220383000000005 , 16.253794300000003","48.1358675 , 16.169020200000002",urban-urban,1729
123,123,"48.0090331 , 15.5807315","48.0094508 , 15.8383201",urban-urban,1871
124,124,"47.8501885 , 13.1083633","47.7496554 , 13.008075400000001",urban-rural,1729
125,125,"48.3317734 , 16.0585163","48.332169 , 16.2664547",urban-rural,1729
126,126,"48.185028200000005 , 16.3531398","48.185518800000004 , 16.095311300000002",urban-urban,1873
127,127,"47.559755900000006 , 9.7533483","47.4605596 , 9.6537947",urban-urban,1726
128,128,"47.1190754 , 15.426273600000002","47.031219300000004 , 15.514481600000002",urban-urban,1726
129,129,"47.0999879 , 15.395622200000002","47.099578400000006 , 15.592378900000002",urban-urban,1726
130,130,"47.3111848 , 13.3034233","47.311832200000005 , 13.1092112",rural-urban,1874
131,131,"47.104003500000005 , 15.4159974","47.0007273 , 15.518744300000002",urban-urban,1724
132,132,"47.118345600000005 , 15.469377600000001","47.0095618 , 15.5780688",urban-rural,1876
133,133,"48.3306235 , 16.049316400000002","48.330842700000005 , 16.2680869",urban-rural,1879
134,134,"47.8634548 , 13.128066700000002","47.731737300000006 , 13.128464300000001",urban-rural,1880
135,135,"47.113274000000004 , 15.426397900000001","47.0174668 , 15.5217839",urban-urban,1719
136,136,"47.897698600000005 , 13.0781153","47.7623131 , 13.077647800000001",urban-urban,1719
137,137,"48.2121702 , 16.446477100000003","48.2127874 , 16.2452694",urban-urban,1882
138,138,"48.2419433 , 16.4041912","48.24144140000001 , 16.2072823",urban-urban,1882
139,139,"48.228911000000004 , 16.290139800000002","48.310101700000004 , 16.371861900000003",urban-urban,1717
140,140,"46.8693739 , 15.582853400000001","47.0002105 , 15.452420700000001",urban-urban,1716
141,141,"48.239002500000005 , 16.354675","48.140579 , 16.2562499",urban-urban,1884
142,142,"47.1290119 , 15.4294741","46.9954753 , 15.4288924",urban-rural,1884
143,143,"47.453873 , 9.7407666","47.346833800000006 , 9.741222800000001",urban-urban,1715
144,144,"47.4621154 , 9.620579600000001","47.3826716 , 9.699797",urban-urban,1715
145,145,"48.218021300000004 , 15.6030616","48.0319584 , 15.602667400000001",urban-urban,1885
146,146,"47.340158200000005 , 13.137121100000002","47.3408072 , 13.013693900000002",rural-urban,1714
147,147,"47.021854000000005 , 15.5650487","47.111254900000006 , 15.4758364",urban-rural,1714
148,148,"47.8679727 , 13.1577923","47.752765600000004 , 13.042345000000001",urban-urban,1886
149,149,"48.247718400000004 , 16.355717000000002","48.1613598 , 16.269035600000002",urban-urban,1714
150,150,"47.0480225 , 15.5639","47.047767500000006 , 15.375929000000001",urban-urban,1886
